,Date,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F),Total Rain (in),Total Rain (mm)
0,2006-01-01,,44,15.9.8.9,29.491,13.2,18.1,250,0.000,0.000,0.0,41.5.5.3,29.7.1.3,29.2,29.8,34.0.254,45.0,62.0,31.0,41.5.5.3,0.0,0.0
1,2006-01-02,,35,14.1.10.0,29.8,16.0,21.5,251,0.000,0.000,0.0,47.0.8.3,31.3.0.4,29.7,29.8,43.0.256,56.0,51.0,22.0,47.0.8.3,0.0,0.0
2,2006-01-03,,,,,,,,,,,,,,,,,,,,,
3,2006-01-04,,48,15.3.9.3,30.039,12.7,17.3,252,0.070,0.070,0.01,43.3.6.3,23.8.4.6,29.6,30.5,39.0.259,62.0,89.0,33.0,43.3.6.3,0.0,0.0
4,2006-01-05,,31,6.2.14.3,30.52,15.5,19.3,228,0.070,0.070,0.0,43.1.6.2,23.2.4.9,30.3,30.6,30.0.215,37.0,53.0,22.0,43.1.6.2,0.0,0.0
5,2006-01-06,,24,11.8.11.2,30.101999999999997,17.3,24.6,254,0.070,0.070,0.0,54.5.12.5,37.9.3.3,29.8,30.3,31.0.266,43.0,37.0,15.0,54.5.12.5,0.0,0.0
6,2006-01-07,,,,,,,,,,,,,,,,,,,,,
7,2006-01-08,,,,,,,,,,,,,,,,,,,,,
8,2006-01-09,,,,,,,,,,,,,,,,,,,,,
9,2006-01-10,,,,,,,,,,,,,,,,,,,,,
10,2006-01-11,,,,,,,,,,,,,,,,,,,,,
11,2006-01-12,,,,,,,,,,,,,,,,,,,,,
12,2006-01-13,,,,,,,,,,,,,,,,,,,,,
13,2006-01-14,,21,7.6.13.5,29.656999999999996,16.7,22.8,248,0.070,0.070,0.0,55.1.12.8,23.4.4.8,29.4,30.1,40.0.256,58.0,49.0,14.0,55.1.12.8,0.0,0.0
14,2006-01-15,,32,8.1.13.3,29.535,14.9,20.9,247,0.070,0.070,0.0,42.5.5.8,25.0.3.9,29.4,29.7,43.0.227,52.0,60.0,22.0,42.5.5.8,0.0,0.0
15,2006-01-16,,41,0.2.17.7,30.037,7.8,12.1,267,0.070,0.070,0.0,29.7.1.3,17.7.7.9,29.7,30.3,28.0.260,39.0,69.0,22.0,29.7.1.3,0.0,0.0
16,2006-01-17,,35,5.2.14.9,30.011999999999997,15.7,23.2,252,0.070,0.070,0.0,39.8.4.3,20.0.6.7,29.7,30.1,34.0.246,46.0,58.0,19.0,39.8.4.3,0.0,0.0
17,2006-01-18,,59,18.9.7.3,29.76,12.9,17.2,247,0.070,0.070,0.0,42.6.5.9,25.4.3.7,29.7,29.8,38.0.251,47.0,91.0,28.0,42.6.5.9,0.0,0.0
18,2006-01-19,,80,15.7.9.1,29.959,2.5,3.7,6,0.070,0.070,0.0,26.1.3.3,13.6.10.2,29.7,30.2,14.0.221,18.0,87.0,57.0,26.1.3.3,0.0,0.0
19,2006-01-20,,54,1.4.17.0,30.316,10.3,14.0,249,0.070,0.070,0.0,24.5.4.2,2.5.19.2,30.2,30.5,26.0.288,34.0,87.0,33.0,24.5.4.2,0.0,0.0
20,2006-01-21,,38,0.1.17.7,30.248,9.8,13.6,248,0.070,0.070,0.0,30.7.0.7,13.6.10.2,30.1,30.4,32.0.256,37.0,64.0,28.0,30.7.0.7,0.0,0.0
21,2006-01-22,,52,1.2.17.1,30.378,5.5,7.6,244,0.070,0.070,0.0,30.0.1.1,4.1.15.5,29.1,30.6,21.0.241,29.0,81.0,22.0,30.0.1.1,0.0,0.0
22,2006-01-23,,31,2.9.16.2,29.142,15.2,19.9,247,0.070,0.070,0.0,39.5.4.2,21.9.5.6,29.0,29.2,31.0.246,41.0,42.0,21.0,39.5.4.2,0.0,0.0
23,2006-01-24,,43,6.8.14.0,29.391,1.2,2.3,309,0.070,0.070,0.0,50.8.10.4,12.6.10.8,29.1,29.6,9.0.057,16.0,67.0,15.0,50.8.10.4,0.0,0.0
24,2006-01-25,,49,6.1.14.4,29.296,1.3,2.1,339,0.070,0.070,0.0,53.3.11.8,7.2.13.8,28.9,29.6,8.0.06,12.0,73.0,12.0,53.3.11.8,0.0,0.0
25,2006-01-26,,49,12.6.10.8,28.855,12.1,17.0,253,0.070,0.070,0.0,37.6.3.1,16.4.8.7,28.7,28.9,32.0.250,43.0,71.0,31.0,37.6.3.1,0.0,0.0
26,2006-01-27,,38,7.9.13.4,28.889,8.7,12.1,253,0.070,0.070,0.0,41.3.5.2,25.9.3.4,28.7,29.0,30.0.232,34.0,65.0,17.0,41.3.5.2,0.0,0.0
27,2006-01-28,,38,2.8.16.2,28.845,14.8,20.0,248,0.070,0.070,0.0,33.2.0.7,20.0.6.7,28.7,29.0,33.0.256,43.0,57.0,20.0,33.2.0.7,0.0,0.0
28,2006-01-29,,40,3.7.15.7,28.853,16.1,23.0,254,0.070,0.070,0.0,29.4.1.4,22.9.5.1,28.7,29.0,34.0.252,51.0,77.0,27.0,29.4.1.4,0.0,0.0
29,2006-01-30,,44,14.9.9.5,28.862,16.0,21.1,241,0.070,0.070,0.0,46.0.7.8,24.1.4.4,28.6,29.0,36.0.240,52.0,53.0,29.0,46.0.7.8,0.0,0.0
30,2006-01-31,,41,15.3.9.3,28.611,12.7,18.0,254,0.000,0.070,0.0,44.3.6.8,29.7.1.3,28.5,28.8,33.0.240,43.0,67.0,26.0,44.3.6.8,0.0,0.0
31,2006-02-01,,52,17.1.8.3,28.599,15.5,20.9,246,0.000,0.070,0.0,43.3.6.3,27.9.2.3,28.4,28.7,37.0.250,52.0,90.0,34.0,43.3.6.3,0.0,0.0
32,2006-02-02,,39,6.2.14.3,28.704,11.7,17.0,259,0.000,0.070,0.0,36.2.2.3,24.8.4.0,28.6,28.8,25.0.248,36.0,66.0,25.0,36.2.2.3,0.0,0.0
33,2006-02-03,,47,8.3.13.1,29.011,7.5,11.4,266,0.000,0.000,0.0,33.5.0.8,16.9.8.4,28.8,29.2,24.0.274,32.0,85.0,34.0,33.5.0.8,0.0,0.0
34,2006-02-04,,33,7.3.13.7,28.889,13.4,17.7,244,0.000,0.000,0.0,45.6.7.6,17.2.8.2,28.5,29.2,30.0.246,37.0,63.0,14.0,45.6.7.6,0.0,0.0
35,2006-02-05,,42,5.5.14.7,28.831999999999997,16.0,21.9,249,0.000,0.000,0.0,35.2.1.8,20.0.6.7,28.5,29.2,34.0.230,49.0,81.0,27.0,35.2.1.8,0.0,0.0
36,2006-02-06,,27,2.3.19.1,29.256,12.1,16.8,251,0.000,0.000,0.0,40.3.4.6,18.9.7.3,29.1,29.4,26.0.238,34.0,47.0,14.0,40.3.4.6,0.0,0.0
37,2006-02-07,,23,0.7.17.4,29.131,12.9,17.3,238,0.000,0.000,0.0,43.9.6.6,27.6.2.4,29.0,29.2,29.0.231,43.0,28.0,17.0,43.9.6.6,0.0,0.0
38,2006-02-08,,23,5.6.14.7,29.059,13.6,17.9,242,0.000,0.000,0.0,49.8.9.9,34.1.1.2,28.9,29.1,30.0.246,37.0,30.0,17.0,49.8.9.9,0.0,0.0
39,2006-02-09,,41,8.4.13.1,28.924,12.7,17.6,242,0.000,0.000,0.0,51.5.10.8,13.8.10.1,28.7,29.2,36.0.255,53.0,86.0,15.0,51.5.10.8,0.0,0.0
40,2006-02-10,,57,3.4.19.7,29.5,4.9,7.2,260,0.070,0.070,0.01,20.4.6.4,0.9.18.3,29.1,29.7,20.0.261,24.0,86.0,29.0,20.4.6.4,0.0,0.0
41,2006-02-11,,28,9.4.23.0,29.517,12.4,17.1,246,0.070,0.070,0.0,31.0.0.6,3.5.15.8,29.3,29.7,34.0.215,43.0,45.0,16.0,31.0.0.6,0.0,0.0
42,2006-02-12,,25,3.0.16.1,29.213,11.4,15.2,240,0.070,0.070,0.0,50.0.10.0,25.6.3.6,29.0,29.3,31.0.226,40.0,40.0,17.0,50.0.10.0,0.0,0.0
43,2006-02-13,,25,2.6.16.3,28.969,14.7,19.1,244,0.070,0.070,0.0,43.6.6.4,31.8.0.1,28.8,29.1,28.0.238,34.0,29.0,19.0,43.6.6.4,0.0,0.0
44,2006-02-14,,39,8.4.13.1,28.698,14.2,19.3,250,0.070,0.070,0.0,43.1.6.2,20.2.6.6,28.6,28.8,32.0.251,47.0,86.0,20.0,43.1.6.2,0.0,0.0
45,2006-02-15,,86,15.1.9.4,28.721,3.5,5.4,60,0.100,0.100,0.01,24.9.3.9,12.6.10.8,28.6,28.8,14.0.057,16.0,89.0,75.0,24.9.3.9,0.0,0.0
46,2006-02-16,,77,0.6.18.1,29.211,4.0,5.5,36,0.100,0.100,0.0,14.6.9.7,10.6.23.7,28.8,29.6,16.0.049,24.0,85.0,64.0,14.6.9.7,0.0,0.0
